TET,MMC,IPM,CAZ,KAN,CIP,PME,ERY,CHL,consensus
b2542,b2517,b4200,b3822,b1022,b2255,,b2892,b0225,b2711
b2543,b2530,b4201,b3825,b1024,b2263,,b2893,b1498,b2713
b2554,b2531,b4207,b3832,b1025,b2270,,b2906,b3299,b2746
b2555,b2534,b4226,b3833,b1028,b2271,,b2909,b2460,b2747
b2561,b2551,b4232,b3842,b1029,b2275,,b2923,b2562,b2748
b2565,b2558,b4233,b3859,b1032,b2305,,b2927,b4049,b2753
b2567,b2559,b4237,b3860,b1036,b2322,,b2939,b4484,b2754
b2575,b2561,b4360,b3861,b1041,b2330,,b2951,b3382,b2755
b2581,b2565,b4361,b3862,b1043,b2339,,b2952,b2866,b2756
b2594,b2567,b4362,b3865,b1044,b2344,,b2955,b3305,b2757
b2609,b2571,b4364,b3871,b1047,b2345,,b2961,b0727,b2758
b2617,b2574,b4372,b3972,b1057,b2349,,b2962,b2685,b2760
b2629,b2575,b4394,b3973,b1059,b2350,,b2963,b3834,b2765
b2630,b2577,b4430,b3977,b1062,b2351,,b2964,b1335,b2797
b2631,b2581,b4469,b3983,b1069,b2352,,b2965,b0195,b2813
b2636,b2600,b4537,b3985,b1072,b2367,,b2972,b1789,b2817
b2637,b2601,b4642,b4006,b1079,b2372,,b2980,b2093,b2832
b2641,b2611,b0991,b4023,b1080,b2373,,b2992,b3037,b2835
b2646,b2617,b0990,b4044,b1081,b2375,,b2995,b0637,b2841
b2647,b2625,b2402,b4058,b1082,b2393,,b3002,b1777,b2842
b2674,b2626,b1551,b4064,b1086,b2395,,b3009,b0208,b2843
b2675,b2647,b2667,b4079,b1095,b2396,,b3018,b0653,b2845
b2676,b2648,b2379,b4108,b1096,b2419,,b3041,b3492,b2858
b2678,b2650,b0528,b4145,b1097,b2420,,b3055,b4077,b2863
b2679,b2686,b1905,b4146,b1098,b2432,,b3057,b0809,b2868
b2691,b2691,b3704,b4150,b1099,b2462,,b3064,b1078,b2881
b2695,b2698,b2668,b4155,b1112,b2497,,b3072,b1174,b2887
b2698,b2699,b0721,b4158,b1115,b2498,,b3077,b1427,b2890
b2699,b2701,b1557,b4162,b1121,b2499,,b3078,b1281,b2891
b2702,b2713,b0844,b4207,b1129,b2505,,b3082,b2583,b2892
b2703,b2753,b3707,b4226,b1140,b2517,,b3085,b3309,b2921
b2711,b2757,b0722,b4232,b1152,b2519,,b3090,b1778,b2923
b2713,b2758,b2693,b4233,b1153,b2534,,b3095,b0142,b2933
b2739,b2760,b2669,b4311,b1154,b2537,,b3099,b4213,b2938
b2745,b2765,b4306,b4347,b1155,b2543,,b3107,b1655,b2939
b2746,b2775,b2734,b4360,b1156,b2555,,b3110,b0030,b2940
b2747,b2778,b3051,b4364,b1157,b2558,,b3146,b2504,b2945
b2748,b2791,b0845,b4368,b1158,b2559,,b3155,b4498,b2951
b2753,b2816,b3636,b4372,b1159,b2561,,b3162,b2279,b2952
b2754,b2827,b1558,b4375,b1160,b2565,,b3164,b1035,b2955
b2755,b2828,b0843,b4403,b1161,b2567,,b3166,b0196,b2956
b2756,b2829,b1857,b4417,b1164,b2569,,b3169,b0122,b2960
b2757,b2832,b3050,b4437,b1171,b2574,,b3170,b2869,b2961
b2758,b2843,b3710,b4469,b1172,b2575,,b3177,b0190,b2962
b2760,b2845,b1915,b4499,b1180,b2581,,b3182,b1089,b2963
b2765,b2846,b2997,b4536,b1183,b2594,,b3189,b4256,b2965
b2797,b2847,b1552,b4537,b1185,b2600,,b3190,b2935,b2967
b2813,b2849,b4502,b4598,b1193,b2601,,b3191,b3020,b2972
b2817,b2851,b2605,b4613,b1194,b2617,,b3193,b3186,b2984
b2832,b2854,b0946,b4618,b1196,b2629,,b3194,b2844,b2985
b2835,b2858,b2996,b4638,b1201,b2647,,b3197,b2369,b2986
b2841,b2863,b1233,b4642,b1202,b2648,,b3198,b2796,b2987
b2842,b2873,b4542,b4645,b1206,b2650,,b3199,b1636,b2998
b2843,b2882,b3175,b4668,b1213,b2686,,b3200,b1677,b3002
b2845,b2887,b3775,b4670,b1218,b2689,,b3201,b1632,b3021
b2853,b2891,b2518,b4680,b1220,b2690,,b3202,b0308,b3022
b2858,b2921,b4483,b0991,b1238,b2691,,b3205,b1859,b3030
b2863,b2933,b1163,b0990,b1242,b2695,,b3212,b2949,b3041
b2868,b2939,b3263,b1674,b1249,b2698,,b3213,b2576,b3043
b2881,b2940,b1339,b2402,b1268,b2699,,b3223,b3573,b3046
b2887,b2951,b0636,b1551,b1282,b2701,,b3235,b0766,b3047
b2890,b2955,b2435,b2878,b1296,b2702,,b3250,b3219,b3048
b2891,b2965,b2175,b2667,b1297,b2703,,b3256,b4216,b3057
b2892,b2969,b3075,b2871,b1298,b2705,,b3257,b4163,b3058
b2921,b2970,b0685,b2870,b1299,b2709,,b3260,b1932,b3072
b2923,b2972,b3709,b2379,b1300,b2711,,b3261,b0529,b3082
b2933,b2984,b0416,b0929,b1303,b2713,,b3282,b3752,b3089
b2938,b2985,b1816,b1905,b1304,b2714,,b3288,b4001,b3090
b2939,b2986,b4340,b3704,b1306,b2747,,b3289,b1911,b3093
b2940,b2987,b2603,b2668,b1307,b2753,,b3295,b4687,b3101
b2945,b2992,b3185,b2879,b1308,b2754,,b3296,b1840,b3104
b2951,b2993,b4573,b0721,b1309,b2755,,b3302,b4123,b3105
b2952,b2994,b1530,b4566,b1310,b2758,,b3304,b3649,b3107
b2955,b2998,b0781,b1557,b1311,b2760,,b3306,b1134,b3130
b2956,b3002,b0432,b0280,b1312,b2765,,b3313,b0258,b3139
b2959,b3043,b0763,b0844,b1313,b2775,,b3316,b0281,b3141
b2960,b3046,b0023,b4307,b1314,b2787,,b3317,b0963,b3142
b2961,b3047,b3308,b3707,b1315,b2791,,b3318,b1540,b3144
b2962,b3048,b3344,b0722,b1316,b2792,,b3319,b3742,b3146
b2963,b3055,b1685,b2888,b1317,b2797,,b3320,b3962,b3162
b2965,b3061,b2684,b2693,b1319,b2803,,b3343,b0460,b3163
b2967,b3090,b2436,b4306,b1320,b2806,,b3346,b4624,b3166
b2972,b3095,b1858,b3051,b1330,b2813,,b3347,b0686,b3168
b2984,b3104,b3065,b0845,b1331,b2816,,b3350,b0415,b3169
b2985,b3110,b0945,b1558,b1337,b2817,,b3352,b2286,b3170
b2986,b3141,b3084,b0843,b1338,b2832,,b3353,b0431,b3176
b2987,b3142,b1959,b1857,b1340,b2841,,b3355,b3731,b3182
b2998,b3143,b0459,b3050,b1342,b2842,,b3363,b3750,b3189
b3002,b3144,b2944,b3710,b1349,b2843,,b3385,b3410,b3190
b3021,b3146,b0434,b1915,b1351,b2847,,b3386,b1356,b3193
b3022,b3162,b2102,b1552,b1352,b2858,,b3387,b2902,b3194
b3030,b3190,b2172,b0372,b1353,b2863,,b3405,b1186,b3212
b3041,b3216,b2681,b4523,b1355,b2864,,b3412,b4089,b3213
b3042,b3251,b1643,b4502,b1365,b2867,,b3413,b3974,b3214
b3043,b3252,b2101,b2605,b1366,b2873,,b3414,b1706,b3215
b3046,b3260,b0238,b2876,b1368,b2874,,b3424,b1763,b3216
b3047,b3261,b0748,b0946,b1372,b2881,,b3425,b0675,b3223
b3048,b3262,b1794,b1233,b1377,b2882,,b3434,b1269,b3230
b3057,b3264,b1216,b3175,b1385,b2887,,b3440,b3150,b3232
b3058,b3265,b1762,b1531,b1386,b2889,,b3461,b1582,b3240
b3072,b3319,b3646,b3775,b1387,b2921,,b3470,b3783,b3250
b3082,b3320,b3893,b2518,b1397,b2923,,b3475,b4551,b3251
b3089,b3323,b3891,b4483,b1402,b2933,,b3485,b0061,b3252
b3090,b3324,b0225,b1163,b1408,b2938,,b3493,b1212,b3260
b3093,b3325,b2562,b3263,b1409,b2939,,b3526,b3966,b3261
b3101,b3326,b4049,b1061,b1410,b2945,,b3528,b0654,b3295
b3104,b3347,b4484,b1339,b1411,b2946,,b3539,b2623,b3296
b3105,b3363,b3305,b2872,b1419,b2955,,b3540,b0598,b3297
b3107,b3364,b2685,b0636,b1421,b2956,,b3541,b3643,b3298
b3129,b3371,b3834,b2435,b1429,b2957,,b3542,b1117,b3304
b3130,b3396,b1335,b2175,b1433,b2960,,b3543,b3892,b3306
b3139,b3434,b0195,b3075,b1435,b2961,,b3544,b2202,b3313
b3141,b3442,b1789,b0685,b1439,b2963,,b3600,b0262,b3314
b3142,b3470,b0637,b3709,b1445,b2964,,b3601,b2065,b3316
b3144,b3471,b1281,b1232,b1450,b2967,,b3603,b2783,b3317
b3146,b3493,b2583,b0416,b1451,b2969,,b3610,b2905,b3318
b3162,b3504,b4498,b4340,b1453,b2970,,b3611,b3411,b3319
b3163,b3518,b0196,b2603,b1456,b2972,,b3616,b1618,b3320
b3166,b3527,b0190,b3185,b1459,b2976,,b3617,b2975,b3323
b3167,b3534,b3186,b4573,b1473,b2979,,b3619,b3711,b3324
b3168,b3539,b2369,b1530,b1477,b2980,,b3644,b1295,b3325
b3169,b3552,b1636,b4088,b1494,b2985,,b3663,b0761,b3326
b3170,b3585,b1859,b0781,b1495,b2986,,b3668,b1422,b3335
b3176,b3589,b2949,b0432,b1496,b2987,,b3669,b3779,b3341
b3182,b3595,b2576,b2880,b1497,b2992,,b3685,b2457,b3342
b3189,b3613,b0766,b1532,b1499,b2993,,b3686,b1234,b3343
b3190,b3615,b0529,b0763,b1502,b2994,,b3688,b2604,b3348
b3193,b3618,b3649,b0023,b1503,b2995,,b3697,b1757,b3350
b3194,b3621,b1134,b4342,b1504,b2998,,b3700,b2171,b3364
b3212,b3639,b1540,b1584,b1505,b3002,,b3701,b0134,b3369
b3213,b3642,b3742,b4595,b1506,b3021,,b3702,b0651,b3377
b3214,b3644,b3962,b4440,b1507,b3022,,b3715,b1175,b3386
b3215,b3654,b0460,b1583,b1508,b3027,,b3730,b3894,b3387
b3216,b3659,b0415,b2684,b1520,b3030,,b3736,b2331,b3396
b3221,b3673,b0431,b2151,b1521,b3033,,b3738,b1434,b3405
b3222,b3683,b3974,b3065,b1523,b3035,,b3739,b0799,b3415
b3223,b3690,b1763,b0945,b1525,b3043,,b3740,b2532,b3423
b3224,b3696,b1269,b2399,b1526,b3046,,b3744,b0420,b3424
b3230,b3702,b3783,b3084,b1527,b3048,,b3764,b1015,b3425
b3232,b3715,b2623,b1230,b1535,b3055,,b3769,b1741,b3434
b3240,b3716,b3643,b1959,b1542,b3057,,b3774,b4303,b3442
b3250,b3718,b1117,b0459,b1547,b3064,,b3780,b3397,b3470
b3251,b3720,b3892,b2944,b1554,b3072,,b3784,b2398,b3473
b3252,b3721,b3711,b0434,b1555,b3080,,b3785,b2503,b3475
b3260,b3722,b1295,b2102,b1556,b3086,,b3787,b1467,b3481
b3261,b3723,b1422,b1839,b1560,b3088,,b3788,b1765,b3518
b3280,b3738,b3779,b2172,b1561,b3089,,b3805,b1799,b3526
b3281,b3739,b2171,b1243,b1562,b3101,,b3809,b2593,b3528
b3295,b3740,b3894,b2681,b1563,b3104,,b3812,b4298,b3531
b3296,b3778,b0799,b1643,b1564,b3110,,b3813,b1976,b3532
b3297,b3784,b1741,b2101,b1566,b3113,,b3819,b0430,b3533
b3298,b3812,b3397,b0238,b1567,b3124,,b3820,b2125,b3534
b3300,b3813,b0464,b0748,b1568,b3139,,b3822,b1105,b3539
b3304,b3817,b3307,b1216,b1571,b3142,,b3823,b0479,b3540
b3306,b3822,b1191,b1762,b1575,b3144,,b3826,b0464,b3541
b3313,b3825,b3606,b3646,b1576,b3145,,b3832,b3737,b3542
b3314,b3826,b3735,b3645,b1579,b3151,,b3833,b3307,b3543
b3316,b3832,b2181,b3893,b1590,b3155,,b3836,b1468,b3557
b3317,b3833,b1133,b3891,b1592,b3159,,b3838,b1191,b3558
b3318,b3835,b1960,b1498,b1594,b3162,,b3842,b3606,b3562
b3319,b3859,b0387,b2562,b1595,b3168,,b3846,b4053,b3563
b3320,b3861,b3839,b4049,b1599,b3169,,b3857,b3735,b3601
b3323,b3862,b0474,b4484,b1600,b3170,,b3859,b2426,b3609
b3324,b3865,b0503,b2685,b1601,b3176,,b3860,b3017,b3610
b3325,b3875,b1731,b3834,b1605,b3182,,b3862,b2181,b3611
b3326,b3876,b3459,b1335,b1615,b3189,,b3865,b2200,b3613
b3335,b3878,b2533,b0195,b1616,b3190,,b3918,b1133,b3614
b3340,b3897,b1786,b1789,b1627,b3194,,b3920,b4373,b3615
b3341,b3909,b1135,b0637,b1629,b3195,,b3925,b1630,b3634
b3342,b3944,b3935,b1281,b1634,b3214,,b3960,b1418,b3644
b3343,b3972,b2570,b2583,b1644,b3216,,b3972,b4124,b3654
b3348,b3973,b3743,b0142,b1645,b3227,,b3977,b1960,b3659
b3350,b3977,b3546,b1655,b1649,b3230,,b3980,b0387,b3668
b3364,b3985,b1332,b0196,b1651,b3238,,b3982,b0728,b3669
b3369,b4023,b1807,b3186,b1652,b3248,,b3983,b0466,b3673
b3377,b4028,b2496,b2949,b1658,b3250,,b3984,b1621,b3686
b3386,b4038,b1522,b2576,b1659,b3251,,b3985,b3839,b3696
b3387,b4044,b1628,b0766,b1660,b3252,,b3999,b4512,b3700
b3396,b4048,b4371,b0529,b1663,b3260,,b4033,b3418,b3701
b3405,b4058,b4331,b4687,b1669,b3261,,b4039,b2442,b3702
b3415,b4064,b1231,b1540,b1670,b3262,,b4040,b0474,b3715
b3423,b4073,b3651,b3742,b1671,b3264,,b4042,b2092,b3716
b3424,b4074,b2268,b3962,b1672,b3265,,b4044,b3499,b3719
b3425,b4076,b3165,b0460,b1689,b3269,,b4080,b3749,b3720
b3434,b4083,b1969,b0415,b1690,b3295,,b4084,b0503,b3721
b3442,b4086,b3154,b0431,b1691,b3297,,b4086,b2525,b3736
b3470,b4087,b2954,b3974,b1692,b3314,,b4087,b3180,b3738
b3473,b4095,b3345,b1763,b1694,b3316,,b4127,b1329,b3739
b3475,b4101,b0884,b1269,b1695,b3317,,b4146,b2154,b3740
b3481,b4102,b3096,b1582,b1696,b3318,,b4150,b1731,b3764
b3518,b4105,b0423,b3783,b1697,b3319,,b4175,b1328,b3769
b3526,b4106,b1053,b3966,b1698,b3320,,b4180,b1727,b3778
b3528,b4108,b4166,b2623,b1699,b3323,,b4200,b1222,b3780
b3531,b4132,b1055,b3643,b1701,b3324,,b4201,b3459,b3784
b3532,b4133,b3703,b3892,b1704,b3325,,b4207,b2533,b3785
b3533,b4145,b4147,b3711,b1705,b3326,,b4208,b0422,b3786
b3534,b4150,b0158,b1295,b1711,b3331,,b4210,b4558,b3787
b3539,b4155,b1126,b1422,b1714,b3332,,b4218,b1737,b3788
b3540,b4156,b3662,b2604,b1716,b3335,,b4226,b2429,b3789
b3541,b4182,b1856,b2171,b1718,b3341,,b4233,b3349,b3790
b3542,b4183,b1162,b3894,b1722,b3342,,b4240,b0850,b3795
b3543,b4204,b2536,b0799,b1728,b3343,,b4259,b4046,b3812
b3554,b4209,b3633,b1741,b1730,b3348,,b4279,b1786,b3813
b3557,b4215,b3963,b3397,b1733,b3352,,b4313,b3672,b3817
b3558,b4226,b1914,b2503,b1734,b3359,,b4315,b2744,b3819
b3562,b4232,b3038,b3737,b1736,b3363,,b4317,b0754,b3826
b3563,b4233,b0143,b1191,b1742,b3369,,b4318,b1135,b3842
b3572,b4242,b2928,b3606,b1749,b3387,,b4319,b3935,b3859
b3601,b4245,b3640,b3735,b1753,b3396,,b4320,b2570,b3860
b3602,b4257,b0859,b2181,b1756,b3407,,b4323,b3743,b3861
b3609,b4268,b0405,b1133,b1759,b3415,,b4352,b1245,b3862
b3610,b4270,b3303,b1418,b1760,b3416,,b4361,b4138,b3871
b3611,b4277,b1767,b1960,b1761,b3417,,b4372,b4575,b3875
b3613,b4278,b2066,b3839,b1769,b3423,,b4374,b3546,b3876
b3614,b4279,b3188,b0474,b1771,b3424,,b4375,b1033,b3889
b3615,b4280,b1132,b0503,b1772,b3425,,b4394,b1332,b3896
b3634,b4296,b1210,b3180,b1773,b3434,,b4461,b1807,b3918
b3644,b4308,b1707,b1329,b1774,b3437,,b4468,b2496,b3930
b3654,b4309,b3637,b2154,b1775,b3442,,b4469,b1522,b3933
b3659,b4310,b2370,b1731,b1776,b3454,,b4470,b1628,b3955
b3661,b4311,b2700,b1727,b1782,b3455,,b4476,b3158,b3972
b3668,b4313,b0961,b3459,b1788,b3456,,b4480,b2284,b3973
b3669,b4347,b0477,b2533,b1790,b3457,,b4488,b0947,b3981
b3673,b4358,b1607,b3349,b1791,b3458,,b4493,b3905,b3982
b3686,b4360,b2321,b1786,b1801,b3470,,b4536,b2095,b3983
b3696,b4365,b2114,b1135,b1812,b3471,,b4537,b4690,b3984
b3700,b4366,b0931,b3935,b1822,b3473,,b4581,b2468,b3985
b3701,b4368,b0526,b3743,b1825,b3475,,b4637,b3081,b3989
b3702,b4379,b1524,b1245,b1826,b3481,,b4638,b0919,b3999
b3715,b4462,b3986,b3546,b1828,b3493,,b4645,b0304,b4000
b3716,b4465,b3310,b1332,b1829,b3518,,b4659,b0729,b4006
b3719,b4469,b3741,b1807,b1831,b3525,,b4680,b4371,b4040
b3720,b4470,b3648,b2496,b1843,b3526,,b4702,b2133,b4044
b3721,b4482,b3315,b1628,b1846,b3527,,b0991,b3734,b4052
b3736,b4486,b3821,b4371,b1847,b3528,,b1797,b4331,b4063
b3738,b4491,b1804,b4331,b1851,b3531,,b1946,b3220,b4064
b3739,b4494,b3705,b3220,b1855,b3532,,b2207,b1177,b4080
b3740,b4495,b2948,b0743,b1860,b3533,,b1223,b0743,b4081
b3764,b4497,b0383,b1231,b1861,b3534,,b0990,b1231,b4090
b3769,b4499,b2231,b2268,b1862,b3536,,b1224,b3651,b4108
b3772,b4500,b1863,b0345,b1872,b3539,,b1474,b2268,b4127
b3778,b4536,b3811,b3165,b1877,b3552,,b2402,b2256,b4130
b3780,b4537,b2821,b1969,b1878,b3557,,b1551,b2264,b4141
b3784,b4550,b0114,b2954,b1879,b3558,,b3365,b1084,b4145
b3785,b4556,b2234,b0884,b1880,b3561,,b3366,b0268,b4146
b3786,b4578,b0240,b3096,b1881,b3569,,b2206,b1176,b4158
b3787,b4598,b3231,b4166,b1883,b3571,,b0339,b0345,b4178
b3788,b4600,b3258,b1055,b1884,b3586,,b4071,b2124,b4180
b3789,b4613,b3464,b3703,b1885,b3589,,b1796,b3165,b4181
b3790,b4618,b0898,b4147,b1886,b3596,,b1225,b0894,b4182
b3795,b4629,b0819,b1126,b1887,b3601,,b2667,b1969,b4200
b3812,b4630,b1608,b3662,b1888,b3603,,b0137,b3154,b4201
b3813,b4631,b1090,b4043,b1889,b3609,,b3556,b2954,b4204
b3817,b4632,b4137,b1856,b1890,b3611,,b2379,b3031,b4207
b3819,b4637,b3321,b1162,b1904,b3613,,b1226,b1432,b4208
b3826,b4638,b1657,b3633,b1923,b3614,,b0528,b3345,b4210
b3842,b4642,b0877,b1914,b1924,b3615,,b0929,b2619,b4215
b3859,b4646,b2211,b0143,b1925,b3634,,b2203,b0884,b4226
b3860,b4668,b0088,b1719,b1936,b3642,,b1905,b3096,b4237
b3861,b4670,b0461,b3640,b1937,b3644,,b2208,b0050,b4238
b3862,b4671,b4030,b1848,b1939,b3650,,b4036,b4429,b4242
b3871,b4680,b3399,b0859,b1940,b3652,,b2205,b3751,b4246
b3875,b4693,b3714,b1247,b1941,b3654,,b3704,b1650,b4248
b3876,b4714,b3203,b0405,b1947,b3658,,b2668,b2729,b4249
b3889,b0991,b4292,b1244,b1948,b3659,,b4072,b1620,b4257
b3896,b3121,b2313,b1767,b1949,b3664,,b0721,b0423,b4264
b3918,b0990,b3827,b2066,b1950,b3665,,b4062,b1053,b4265
b3930,b4517,b3816,b3188,b1962,b3668,,b1475,b0101,b4270
b3933,b1674,b1436,b0815,b1963,b3669,,b4566,b4166,b4271
b3955,b0301,b0081,b1132,b1968,b3673,,b0846,b1003,b4273
b3972,b2402,b2317,b1707,b1972,b3677,,b1557,b1055,b4279
b3973,b1551,b2671,b3637,b1978,b3679,,b0844,b3703,b4280
b3981,b2667,b4205,b2370,b1981,b3684,,b4032,b2795,b4281
b3982,b1905,b4142,b0537,b1986,b3686,,b4307,b4147,b4282
b3983,b3704,b1165,b2700,b1987,b3690,,b4037,b0158,b4296
b3984,b2668,b0593,b0428,b1989,b3691,,b1977,b0758,b4297
b3985,b0721,b0776,b1246,b1991,b3696,,b0574,b4505,b4299
b3989,b4566,b1951,b3229,b1993,b3700,,b3707,b3294,b4305
b3999,b1557,b0775,b0961,b1999,b3701,,b0722,b0679,b4308
b4000,b0844,b4487,b0477,b2001,b3702,,b2289,b4357,b4309
b4006,b4307,b1743,b1607,b2002,b3706,,b2693,b1126,b4310
b4040,b0574,,b0433,b2004,b3712,,b2789,b3662,b4311
b4044,b2888,,b2321,b2005,b3715,,b2669,b4043,b4313
b4052,b2693,,b2114,b2010,b3716,,b4306,b3638,b4315
b4063,b2789,,b0931,b2014,b3720,,b4070,b1289,b4317
b4064,b2669,,b0526,b2016,b3721,,b0306,b1856,b4318
b4080,b4306,,b1524,b2017,b3722,,b4035,b0655,b4319
b4081,b2734,,b2176,b2027,b3723,,b1821,b1162,b4320
b4090,b3051,,b2566,b2043,b3730,,b0784,b3732,b4327
b4108,b0233,,b3310,b2044,b3736,,b1715,b2536,b4328
b4127,b4345,,b3741,b2045,b3738,,b4557,b3633,b4333
b4130,b1558,,b1187,b2046,b3739,,b0845,b3843,b4339
b4141,b0843,,b3648,b2047,b3740,,b3636,b3963,b4341
b4145,b1857,,b3821,b2048,b3744,,b2659,b1914,b4347
b4146,b3050,,b3228,b2049,b3747,,b1558,b3038,b4348
b4158,b0305,,b1804,b2050,b3764,,b3126,b1709,b4349
b4172,b1580,,b2948,b2051,b3778,,b0843,b3098,b4356
b4178,b3710,,b0383,b2052,b3784,,b1857,b0213,b4360
b4180,b1915,,b4021,b2053,b3785,,b3710,b3844,b4366
b4181,b1552,,b3641,b2054,b3786,,b1227,b2463,b4370
b4182,b0372,,b2231,b2055,b3787,,b1915,b2276,b4372
b4200,b4502,,b0114,b2056,b3788,,b3354,b2899,b4375
b4201,b2605,,b0875,b2057,b3789,,b2997,b3225,b4394
b4203,b0946,,b2234,b2059,b3790,,b3708,b1215,b4397
b4204,b1233,,b0838,b2061,b3791,,b1552,b1811,b4403
b4207,b4542,,b3066,b2062,b3795,,b4502,b0143,b4447
b4208,b3175,,b0240,b2064,b3801,,b2605,b1719,b4462
b4210,b1531,,b3231,b2069,b3813,,b0987,b0440,b4465
b4215,b3775,,b0898,b2070,b3817,,b1014,b0811,b4469
b4226,b2518,,b0891,b2071,b3819,,b1623,b3800,b4476
b4236,b4483,,b1090,b2072,b3820,,b2996,b4386,b4486
b4237,b4109,,b3321,b2074,b3822,,b1233,b2928,b4488
b4238,b1163,,b3502,b2081,b3832,,b3873,b0764,b4491
b4242,b3263,,b3034,b2083,b3833,,b4542,b3640,b4492
b4246,b1061,,b1376,b2085,b3835,,b3175,b2837,b4497
b4248,b1339,,b1501,b2089,b3842,,b4640,b3765,b4499
b4249,b2801,,b2211,b2105,b3846,,b1531,b1848,b4501
b4251,b4110,,b0958,b2106,b3859,,b0557,b0859,b4519
b4257,b1581,,b2616,b2107,b3860,,b3775,b1787,b4527
b4264,b0636,,b0610,b2108,b3861,,b2518,b3032,b4536
